specification,installed_quantity,included_in_HBLFSN6_SET,additional_installed_quantity,model_object_names
HNTT6-6 slot nut,44,16,28,SlotNut_Caster_0;SlotNut_Caster_1;SlotNut_Caster_2;SlotNut_Caster_3;SlotNut_Cradle_0;SlotNut_Cradle_1;SlotNut_Cradle_2;SlotNut_Cradle_3;SlotNut_Electronics_0;SlotNut_Electronics_1;SlotNut_Electronics_2;SlotNut_Electronics_3;SlotNut_Gusset_110;SlotNut_Gusset_111;SlotNut_Gusset_1N10;SlotNut_Gusset_1N11;SlotNut_Gusset_N110;SlotNut_Gusset_N111;SlotNut_Gusset_N1N10;SlotNut_Gusset_N1N11;SlotNut_JointA_N120;SlotNut_JointA_N50;SlotNut_JointA_NN120;SlotNut_JointA_NN50;SlotNut_JointA_P120;SlotNut_JointA_P50;SlotNut_JointA_PN120;SlotNut_JointA_PN50;SlotNut_JointB_N120;SlotNut_JointB_N50;SlotNut_JointB_NN120;SlotNut_JointB_NN50;SlotNut_JointB_P120;SlotNut_JointB_P50;SlotNut_JointB_PN120;SlotNut_JointB_PN50;SlotNut_Plate_124135L;SlotNut_Plate_124135R;SlotNut_Plate_12465L;SlotNut_Plate_12465R;SlotNut_Plate_56135L;SlotNut_Plate_56135R;SlotNut_Plate_5665L;SlotNut_Plate_5665R
M3 plain hex nut,8,0,8,Nut_HubBolt_0L;Nut_HubBolt_0R;Nut_HubBolt_1L;Nut_HubBolt_1R;Nut_HubBolt_2L;Nut_HubBolt_2R;Nut_HubBolt_3L;Nut_HubBolt_3R
M3x10 socket screw,8,0,8,HubBolt_0L;HubBolt_0R;HubBolt_1L;HubBolt_1R;HubBolt_2L;HubBolt_2R;HubBolt_3L;HubBolt_3R
M3x5 socket screw,6,0,6,MotorFaceBolt_0L;MotorFaceBolt_0R;MotorFaceBolt_1L;MotorFaceBolt_1R;MotorFaceBolt_2L;MotorFaceBolt_2R
M4 plain hex nut,12,0,12,Nut_BearingBolt_1111L;Nut_BearingBolt_1111R;Nut_BearingBolt_169L;Nut_BearingBolt_169R;Nut_BearingBolt_2111L;Nut_BearingBolt_2111R;Nut_BearingBolt_269L;Nut_BearingBolt_269R;Nut_MotorFootBolt_105L;Nut_MotorFootBolt_105R;Nut_MotorFootBolt_65L;Nut_MotorFootBolt_65R
M4x12 countersunk screw (overall length),4,0,4,MotorFootBolt_105L;MotorFootBolt_105R;MotorFootBolt_65L;MotorFootBolt_65R
M4x16 countersunk screw (overall length),8,0,8,BearingBolt_1111L;BearingBolt_1111R;BearingBolt_169L;BearingBolt_169R;BearingBolt_2111L;BearingBolt_2111R;BearingBolt_269L;BearingBolt_269R
M6 large washer OD18 ID6.6 t1.6,8,0,8,LargeWasher_Cradle0;LargeWasher_Cradle1;LargeWasher_Cradle2;LargeWasher_Cradle3;LargeWasher_Electronics0;LargeWasher_Electronics1;LargeWasher_Electronics2;LargeWasher_Electronics3
M6 plain hex nut,4,0,4,Nut_CasterBolt_0;Nut_CasterBolt_1;Nut_CasterBolt_2;Nut_CasterBolt_3
M6 washer OD13 ID6.6 t1.6,20,0,20,Washer_CasterFrame0;Washer_CasterFrame1;Washer_CasterFrame2;Washer_CasterFrame3;Washer_Gusset110;Washer_Gusset111;Washer_Gusset1N10;Washer_Gusset1N11;Washer_GussetN110;Washer_GussetN111;Washer_GussetN1N10;Washer_GussetN1N11;Washer_Plate124135L;Washer_Plate124135R;Washer_Plate12465L;Washer_Plate12465R;Washer_Plate56135L;Washer_Plate56135R;Washer_Plate5665L;Washer_Plate5665R
M6x10 socket screw,4,0,4,ElectronicsBolt_0;ElectronicsBolt_1;ElectronicsBolt_2;ElectronicsBolt_3
M6x12 socket screw,40,16,24,CasterFrameBolt_0;CasterFrameBolt_1;CasterFrameBolt_2;CasterFrameBolt_3;CradleBolt_0;CradleBolt_1;CradleBolt_2;CradleBolt_3;GussetBolt_110;GussetBolt_111;GussetBolt_1N10;GussetBolt_1N11;GussetBolt_N110;GussetBolt_N111;GussetBolt_N1N10;GussetBolt_N1N11;JointA_N120;JointA_N50;JointA_NN120;JointA_NN50;JointA_P120;JointA_P50;JointA_PN120;JointA_PN50;JointB_N120;JointB_N50;JointB_NN120;JointB_NN50;JointB_P120;JointB_P50;JointB_PN120;JointB_PN50;PlateBolt_124135L;PlateBolt_124135R;PlateBolt_12465L;PlateBolt_12465R;PlateBolt_56135L;PlateBolt_56135R;PlateBolt_5665L;PlateBolt_5665R
M6x16 socket screw,4,0,4,CasterBolt_0;CasterBolt_1;CasterBolt_2;CasterBolt_3
