specification,installed_quantity,included_in_HBLFSN6_SET,additional_installed_quantity,model_object_names
HNTT6-6 slot nut,44,16,28,SlotNut_Bridge_138_135L;SlotNut_Bridge_138_135R;SlotNut_Bridge_138_65L;SlotNut_Bridge_138_65R;SlotNut_Bridge_42_135L;SlotNut_Bridge_42_135R;SlotNut_Bridge_42_65L;SlotNut_Bridge_42_65R;SlotNut_Caster_0;SlotNut_Caster_1;SlotNut_Caster_2;SlotNut_Caster_3;SlotNut_Gusset_110;SlotNut_Gusset_111;SlotNut_Gusset_1N10;SlotNut_Gusset_1N11;SlotNut_Gusset_N110;SlotNut_Gusset_N111;SlotNut_Gusset_N1N10;SlotNut_Gusset_N1N11;SlotNut_JointA_N120;SlotNut_JointA_N50;SlotNut_JointA_NN120;SlotNut_JointA_NN50;SlotNut_JointA_P120;SlotNut_JointA_P50;SlotNut_JointA_PN120;SlotNut_JointA_PN50;SlotNut_JointB_N120;SlotNut_JointB_N50;SlotNut_JointB_NN120;SlotNut_JointB_NN50;SlotNut_JointB_P120;SlotNut_JointB_P50;SlotNut_JointB_PN120;SlotNut_JointB_PN50;SlotNut_SideFrame_138L;SlotNut_SideFrame_138R;SlotNut_SideFrame_42L;SlotNut_SideFrame_42R;SlotNut_Tray_0;SlotNut_Tray_1;SlotNut_Tray_2;SlotNut_Tray_3
M3 plain hex nut,12,0,12,Nut_CapBolt_32L;Nut_CapBolt_32R;Nut_CapBolt_68L;Nut_CapBolt_68R;Nut_HubBolt_0L;Nut_HubBolt_0R;Nut_HubBolt_1L;Nut_HubBolt_1R;Nut_HubBolt_2L;Nut_HubBolt_2R;Nut_HubBolt_3L;Nut_HubBolt_3R
M3x10 socket screw,12,0,12,CapBolt_32L;CapBolt_32R;CapBolt_68L;CapBolt_68R;HubBolt_0L;HubBolt_0R;HubBolt_1L;HubBolt_1R;HubBolt_2L;HubBolt_2R;HubBolt_3L;HubBolt_3R
M3x5 socket screw,6,0,6,MotorFaceBolt_0L;MotorFaceBolt_0R;MotorFaceBolt_1L;MotorFaceBolt_1R;MotorFaceBolt_2L;MotorFaceBolt_2R
M4 plain hex nut,68,0,68,Nut_BearingBolt_Inner108L;Nut_BearingBolt_Inner108R;Nut_BearingBolt_Inner72L;Nut_BearingBolt_Inner72R;Nut_BearingBolt_Outer108L;Nut_BearingBolt_Outer108R;Nut_BearingBolt_Outer72L;Nut_BearingBolt_Outer72R;Nut_MotorSaddleBolt_11038L;Nut_MotorSaddleBolt_11038R;Nut_MotorSaddleBolt_11068L;Nut_MotorSaddleBolt_11068R;Nut_MotorSaddleBolt_7038L;Nut_MotorSaddleBolt_7038R;Nut_MotorSaddleBolt_7068L;Nut_MotorSaddleBolt_7068R;Nut_SideTie_138L;Nut_SideTie_138R;Nut_SideTie_42L;Nut_SideTie_42R;Nut_TopJoint_00L;Nut_TopJoint_00R;Nut_TopJoint_01L;Nut_TopJoint_01R;Nut_TopJoint_10L;Nut_TopJoint_10R;Nut_TopJoint_11L;Nut_TopJoint_11R;Nut_UpperWebJoint_00L;Nut_UpperWebJoint_00R;Nut_UpperWebJoint_01L;Nut_UpperWebJoint_01R;Nut_UpperWebJoint_10L;Nut_UpperWebJoint_10R;Nut_UpperWebJoint_11L;Nut_UpperWebJoint_11R;Nut_WallJoint_0155L;Nut_WallJoint_0155R;Nut_WallJoint_0185L;Nut_WallJoint_0185R;Nut_WallJoint_0255L;Nut_WallJoint_0255R;Nut_WallJoint_0285L;Nut_WallJoint_0285R;Nut_WallJoint_1155L;Nut_WallJoint_1155R;Nut_WallJoint_1185L;Nut_WallJoint_1185R;Nut_WallJoint_1255L;Nut_WallJoint_1255R;Nut_WallJoint_1285L;Nut_WallJoint_1285R;Nut_WebJoint_0145L;Nut_WebJoint_0145R;Nut_WebJoint_0195L;Nut_WebJoint_0195R;Nut_WebJoint_0245L;Nut_WebJoint_0245R;Nut_WebJoint_0295L;Nut_WebJoint_0295R;Nut_WebJoint_1145L;Nut_WebJoint_1145R;Nut_WebJoint_1195L;Nut_WebJoint_1195R;Nut_WebJoint_1245L;Nut_WebJoint_1245R;Nut_WebJoint_1295L;Nut_WebJoint_1295R
M4x12 socket screw,60,0,60,MotorSaddleBolt_11038L;MotorSaddleBolt_11038R;MotorSaddleBolt_11068L;MotorSaddleBolt_11068R;MotorSaddleBolt_7038L;MotorSaddleBolt_7038R;MotorSaddleBolt_7068L;MotorSaddleBolt_7068R;SideTie_138L;SideTie_138R;SideTie_42L;SideTie_42R;TopJoint_00L;TopJoint_00R;TopJoint_01L;TopJoint_01R;TopJoint_10L;TopJoint_10R;TopJoint_11L;TopJoint_11R;UpperWebJoint_00L;UpperWebJoint_00R;UpperWebJoint_01L;UpperWebJoint_01R;UpperWebJoint_10L;UpperWebJoint_10R;UpperWebJoint_11L;UpperWebJoint_11R;WallJoint_0155L;WallJoint_0155R;WallJoint_0185L;WallJoint_0185R;WallJoint_0255L;WallJoint_0255R;WallJoint_0285L;WallJoint_0285R;WallJoint_1155L;WallJoint_1155R;WallJoint_1185L;WallJoint_1185R;WallJoint_1255L;WallJoint_1255R;WallJoint_1285L;WallJoint_1285R;WebJoint_0145L;WebJoint_0145R;WebJoint_0195L;WebJoint_0195R;WebJoint_0245L;WebJoint_0245R;WebJoint_0295L;WebJoint_0295R;WebJoint_1145L;WebJoint_1145R;WebJoint_1195L;WebJoint_1195R;WebJoint_1245L;WebJoint_1245R;WebJoint_1295L;WebJoint_1295R
M4x16 socket screw,8,0,8,BearingBolt_Inner108L;BearingBolt_Inner108R;BearingBolt_Inner72L;BearingBolt_Inner72R;BearingBolt_Outer108L;BearingBolt_Outer108R;BearingBolt_Outer72L;BearingBolt_Outer72R
M6 large washer OD18 ID6.6 t1.6,4,0,4,TrayWasher_0;TrayWasher_1;TrayWasher_2;TrayWasher_3
M6 plain hex nut,4,0,4,Nut_CasterBolt_0;Nut_CasterBolt_1;Nut_CasterBolt_2;Nut_CasterBolt_3
M6 washer OD13 ID6.6 t1.6,12,0,12,GussetWasher_110;GussetWasher_111;GussetWasher_1N10;GussetWasher_1N11;GussetWasher_N110;GussetWasher_N111;GussetWasher_N1N10;GussetWasher_N1N11;SideFrameWasher_138L;SideFrameWasher_138R;SideFrameWasher_42L;SideFrameWasher_42R
